freshblood,divison,veteran,wins,losses,playerID,playerName,inactive,hotstreak,leaguePoints
,57,35,29699937,greatkaichamp04,False,True,146
False,I,False,72,42,81619136,Itz Amy Vu,False,False,78
False,I,False,69,59,23632567,Cpt Squirtle,False,False,43
False,I,False,85,79,443735,GordanRamsey,False,False,62
True,I,False,208,187,35590582,Annie Bot,False,False,243
True,I,False,159,144,33071743,Japanese Import,False,False,116
False,I,False,86,70,50887553,TeamMeiya 70,False,False,215
True,I,False,102,87,31198030,FrostyLights,False,True,0
True,I,False,92,64,25232745,Chàse,False,False,157
False,I,False,66,51,21961605,JeezyTheSnowMan,False,False,76
True,I,False,185,157,20122858,Swordblue,False,False,101
False,I,False,127,110,65239176,Duke of Parma,False,False,159
True,I,False,166,157,40572808,Stephen M Ross,False,True,119
False,I,False,118,100,22922261,0 K A Y B O Y S,False,False,204
True,I,False,86,59,23022664,Iionhearted,False,False,0
False,I,False,115,95,77570878,Washed Up ,False,False,171
False,I,False,95,78,19577112,gatsuno,False,False,227
False,I,False,212,193,37842613,Sekune,False,False,170
True,I,False,241,217,21122451,Eepblob,False,False,181
True,I,False,135,121,35612484,Feitan,False,True,99
True,I,False,120,100,30372420,Shimatora,False,False,0
False,I,False,121,115,20483477,xHazzard,False,False,8
False,I,False,65,48,65809586,HIGGINBOTTAMS,False,False,221
False,I,False,97,84,19079393,Garani,False,False,0
True,I,False,57,36,25452628,Prime Gom,False,False,0
True,I,False,40,23,19875787,Lord Jirall,False,True,0
True,I,False,162,134,61021640,tnerual70,False,True,70
True,I,False,118,106,26051120,Modx,False,False,6
True,I,False,91,66,20113883,Partikle,False,False,138
False,I,False,106,90,19215996,Ûzì,False,True,58
False,I,False,125,119,62372968,SKY Fear,False,False,57
True,I,False,66,46,64590437,Q1 Tian Da Sheng,False,False,84
True,I,False,63,52,38857618,biblee,False,False,63
False,I,False,132,119,28426754,frozen qualia,False,False,88
False,I,False,175,168,10077,scarra,False,False,145
True,I,False,155,139,22790562,Griffin1795,False,False,0
False,I,False,197,176,30046300,always plan ahea,False,False,57
True,I,False,93,67,71641026,TwtchTv imaokai,False,False,249
False,I,False,60,40,77039145,Old Brother K1SS,False,True,77
True,I,False,170,162,37444943,PoppyIar,False,False,0
False,I,True,182,155,28690500,KaNKl,False,False,177
False,I,True,158,137,46091942,Tzaphkiel,False,False,166
True,I,False,131,112,32903475,AkiyoWind,False,False,43
True,I,False,183,171,19082810,Nero Valentine,False,True,123
True,I,False,72,53,40999177,Godsu Mechanics,False,False,7
True,I,False,101,92,20611031,An Obese Panda,False,False,223
False,I,False,76,56,29275229,Semoponume,False,False,175
True,I,False,56,45,55629820,Butler Delta,False,False,146
True,I,False,140,116,45729266,inlorfaze,False,False,5
False,I,False,151,148,27794083,haHAA LAL,False,False,32
False,I,False,177,167,38610133,SaintKilian,False,False,0
