champion,lane,matchID,platformID,queue,region,role,season,timestamp
154,JUNGLE,2414044482,NA1,TEAM_BUILDER_RANKED_SOLO,NA,NONE,PRESEASON2017,1485969645147
4,MID,2414052519,NA1,TEAM_BUILDER_RANKED_SOLO,NA,SOLO,PRESEASON2017,1485967390722
154,JUNGLE,2413197247,NA1,TEAM_BUILDER_RANKED_SOLO,NA,NONE,PRESEASON2017,1485884788791
202,BOTTOM,2413213657,NA1,TEAM_BUILDER_RANKED_SOLO,NA,DUO_CARRY,PRESEASON2017,1485881924665
51,BOTTOM,2413211846,NA1,TEAM_BUILDER_RANKED_SOLO,NA,DUO_CARRY,PRESEASON2017,1485879296159
4,MID,2410883736,NA1,TEAM_BUILDER_RANKED_SOLO,NA,SOLO,PRESEASON2017,1485624082554
4,MID,2410881353,NA1,TEAM_BUILDER_RANKED_SOLO,NA,SOLO,PRESEASON2017,1485622251093
4,MID,2410749501,NA1,TEAM_BUILDER_RANKED_SOLO,NA,SOLO,PRESEASON2017,1485620381751
4,MID,2410767351,NA1,TEAM_BUILDER_RANKED_SOLO,NA,SOLO,PRESEASON2017,1485618663676
4,MID,2410774976,NA1,TEAM_BUILDER_RANKED_SOLO,NA,SOLO,PRESEASON2017,1485616033220
4,MID,2407787433,NA1,TEAM_BUILDER_RANKED_SOLO,NA,SOLO,PRESEASON2017,1485305776502
